occurred_at,provider,product,account_id,model,input_tokens,output_tokens,cost_usd,notes,messages
2026-04-20T10:00:00Z,manus,manus-web,default,manus-v2,0,0,0.50,autonomous research task,
2026-04-20T11:00:00Z,wisperflow,wisperflow-web,default,whisper-dictation,0,0,,30-min dictation session,
2026-04-20T12:00:00Z,google,gemini-web,default,gemini-2.5-pro,0,0,,one Gemini Advanced chat,1
2026-04-20T12:30:00Z,google,ai-studio,default,gemini-2.5-pro,0,0,,AI Studio prompt,
2026-04-20T13:00:00Z,vercel,v0-web,default,v0-gpt5,0,0,0.25,v0 component generation,
2026-04-20T13:30:00Z,stackblitz,bolt-new,default,bolt-claude-sonnet,0,0,,bolt build,
2026-04-20T14:00:00Z,lovable-dev,lovable-web,default,lovable-gpt5,0,0,,lovable generation,
2026-04-20T14:30:00Z,cognition,devin-web,default,devin-v1,0,0,2.00,autonomous dev session,
2026-04-20T15:00:00Z,mistral,le-chat-web,default,mistral-large,0,0,,Le Chat message,1
2026-04-20T15:30:00Z,deepseek,deepseek-web,default,deepseek-v3,0,0,,DeepSeek web chat,1
2026-04-20T16:00:00Z,x-ai,grok-web,default,grok-3,0,0,,Grok chat turn,1
2026-04-20T16:30:00Z,perplexity,perplexity-web,default,sonar-large,0,0,,Perplexity Pro search,1
2026-04-20T17:00:00Z,openai,chatgpt-web,default,gpt-5,0,0,,ChatGPT web turn,1
2026-04-20T17:30:00Z,anthropic,claude-web,default,claude-sonnet-4,0,0,,Claude.ai web turn,1
